Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1.18,1.18
36,1.18,1.18
37,1.18,1.18
38,1.18,1.18
39,1.18,1.18
40,1.18,1.18
41,1.18,1.18
42,1.18,1.18
43,1.18,1.18
44,1.18,1.18
45,1.18,1.18
46,1.18,1.18
47,1.18,1.18
48,1.18,1.18
49,1.18,1.18
50,1.18,1.18
51,1.18,1.18
52,1.18,1.18
53,1.18,1.18
54,1.18,1.18
55,1.18,1.18
56,1.18,1.18
57,1.18,1.18
58,1.18,1.18
59,1.18,1.18
60,1.18,1.18
61,1.18,1.18
62,1.18,1.18
63,1.18,1.18
64,1.18,1.18
65,1.18,1.18
66,1.18,1.18
67,1.18,1.18
68,1.18,1.18
69,1.18,1.18
70,1.18,1.18
71,1.18,1.18
72,1.18,1.18
73,1.18,1.18
74,1.18,1.18
75,1.18,1.18
76,1.18,1.18
77,1.18,1.18
78,1.18,1.18
79,1.18,1.18
80,1.18,1.18
81,1.18,1.18
82,1.18,1.18
83,1.18,1.18
84,1.18,1.18
85,1.18,1.18
86,1.18,1.18
87,1.18,1.18
88,1.18,1.18
89,1.18,1.18
90,1.18,1.18
91,1.18,1.18
92,1.18,1.18
93,1.18,1.18
94,1.18,1.18
95,1.18,1.18
96,1.18,1.18
97,1.18,1.18
98,1.18,1.18
99,1.18,1.18
100,1.18,1.18
101,1.18,1.18
102,1.18,1.18
103,1.18,1.18
104,1.18,1.18
105,1.18,1.18
106,1.18,1.18
107,1.18,1.18
108,1.18,1.18
109,1.18,1.18
110,1.18,1.18
