Age,Male,Female
0,0.72,0.72
1,0.72,0.72
2,0.72,0.72
3,0.72,0.72
4,0.72,0.72
5,0.72,0.72
6,0.72,0.72
7,0.72,0.72
8,0.72,0.72
9,0.72,0.72
10,0.72,0.72
11,0.72,0.72
12,0.72,0.72
13,0.72,0.72
14,0.72,0.72
15,0.72,0.72
16,0.72,0.72
17,0.72,0.72
18,0.72,0.72
19,0.72,0.72
20,0.72,0.72
21,0.72,0.72
22,0.72,0.72
23,0.72,0.72
24,0.72,0.72
25,0.72,0.72
26,0.72,0.72
27,0.72,0.72
28,0.72,0.72
29,0.72,0.72
30,0.72,0.72
31,0.72,0.72
32,0.72,0.72
33,0.72,0.72
34,0.72,0.72
35,0.72,0.72
36,0.72,0.72
37,0.72,0.72
38,0.72,0.72
39,0.72,0.72
40,0.72,0.72
41,0.72,0.72
42,0.72,0.72
43,0.72,0.72
44,0.72,0.72
45,0.72,0.72
46,0.72,0.72
47,0.72,0.72
48,0.72,0.72
49,0.72,0.72
50,0.72,0.72
51,0.72,0.72
52,0.72,0.72
53,0.72,0.72
54,0.72,0.72
55,0.72,0.72
56,0.72,0.72
57,0.72,0.72
58,0.72,0.72
59,0.72,0.72
60,0.72,0.72
61,0.72,0.72
62,0.72,0.72
63,0.72,0.72
64,0.72,0.72
65,0.72,0.72
66,0.72,0.72
67,0.72,0.72
68,0.72,0.72
69,0.72,0.72
70,0.72,0.72
71,0.72,0.72
72,0.72,0.72
73,0.72,0.72
74,0.72,0.72
75,0.72,0.72
76,0.72,0.72
77,0.72,0.72
78,0.72,0.72
79,0.72,0.72
80,0.72,0.72
81,0.72,0.72
82,0.72,0.72
83,0.72,0.72
84,0.72,0.72
85,0.72,0.72
86,0.72,0.72
87,0.72,0.72
88,0.72,0.72
89,0.72,0.72
90,0.72,0.72
91,0.72,0.72
92,0.72,0.72
93,0.72,0.72
94,0.72,0.72
95,0.72,0.72
96,0.72,0.72
97,0.72,0.72
98,0.72,0.72
99,0.72,0.72
100,0.72,0.72
101,0.72,0.72
102,0.72,0.72
103,0.72,0.72
104,0.72,0.72
105,0.72,0.72
106,0.72,0.72
107,0.72,0.72
108,0.72,0.72
109,0.72,0.72
110,0.72,0.72
