Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,0.979,0.979
20,0.979,0.979
21,0.979,0.979
22,0.979,0.979
23,0.979,0.979
24,0.979,0.979
25,0.979,0.979
26,0.979,0.979
27,0.979,0.979
28,0.979,0.979
29,0.979,0.979
30,0.979,0.979
31,0.979,0.979
32,0.979,0.979
33,0.979,0.979
34,0.979,0.979
35,0.979,0.979
36,0.979,0.979
37,0.979,0.979
38,0.979,0.979
39,0.979,0.979
40,0.979,0.979
41,0.979,0.979
42,0.979,0.979
43,0.979,0.979
44,0.979,0.979
45,0.979,0.979
46,0.979,0.979
47,0.979,0.979
48,0.979,0.979
49,0.979,0.979
50,0.979,0.979
51,0.979,0.979
52,0.979,0.979
53,0.979,0.979
54,0.979,0.979
55,0.979,0.979
56,0.979,0.979
57,0.979,0.979
58,0.979,0.979
59,0.979,0.979
60,0.979,0.979
61,0.979,0.979
62,0.979,0.979
63,0.979,0.979
64,0.979,0.979
65,0.979,0.979
66,0.979,0.979
67,0.979,0.979
68,0.979,0.979
69,0.979,0.979
70,0.979,0.979
71,0.979,0.979
72,0.979,0.979
73,0.979,0.979
74,0.979,0.979
75,0.979,0.979
76,0.979,0.979
77,0.979,0.979
78,0.979,0.979
79,0.979,0.979
80,0.979,0.979
81,0.979,0.979
82,0.979,0.979
83,0.979,0.979
84,0.979,0.979
85,0.979,0.979
86,0.979,0.979
87,0.979,0.979
88,0.979,0.979
89,0.979,0.979
90,0.979,0.979
91,0.979,0.979
92,0.979,0.979
93,0.979,0.979
94,0.979,0.979
95,0.979,0.979
96,0.979,0.979
97,0.979,0.979
98,0.979,0.979
99,0.979,0.979
100,0.979,0.979
101,0.979,0.979
102,0.979,0.979
103,0.979,0.979
104,0.979,0.979
105,0.979,0.979
106,0.979,0.979
107,0.979,0.979
108,0.979,0.979
109,0.979,0.979
