location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,5,1 to 4,1,FALSE,1,Male,5,prevalence,1.74E-05,2.67E-05,9.26E-06
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,5,1 to 4,2,TRUE,1,Male,5,prevalence,1.74E-05,2.67E-05,9.26E-06
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,5,1 to 4,3,TRUE,1,Male,5,prevalence,1.74E-05,2.67E-05,9.26E-06
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,5,1 to 4,4,TRUE,1,Male,5,prevalence,1.74E-05,2.67E-05,9.26E-06
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,5,1 to 4,1,FALSE,2,Female,5,prevalence,1.77E-05,2.69E-05,9.57E-06
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,5,1 to 4,2,TRUE,2,Female,5,prevalence,1.77E-05,2.69E-05,9.57E-06
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,5,1 to 4,3,TRUE,2,Female,5,prevalence,1.77E-05,2.69E-05,9.57E-06
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,5,1 to 4,4,TRUE,2,Female,5,prevalence,1.77E-05,2.69E-05,9.57E-06
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,6,5 to 9,5,FALSE,1,Male,5,prevalence,5.17E-05,8.28E-05,2.99E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,6,5 to 9,6,TRUE,1,Male,5,prevalence,5.17E-05,8.28E-05,2.99E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,6,5 to 9,7,TRUE,1,Male,5,prevalence,5.17E-05,8.28E-05,2.99E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,6,5 to 9,8,TRUE,1,Male,5,prevalence,5.17E-05,8.28E-05,2.99E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,6,5 to 9,9,TRUE,1,Male,5,prevalence,5.17E-05,8.28E-05,2.99E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,6,5 to 9,5,FALSE,2,Female,5,prevalence,5.13E-05,8.10E-05,2.96E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,6,5 to 9,6,TRUE,2,Female,5,prevalence,5.13E-05,8.10E-05,2.96E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,6,5 to 9,7,TRUE,2,Female,5,prevalence,5.13E-05,8.10E-05,2.96E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,6,5 to 9,8,TRUE,2,Female,5,prevalence,5.13E-05,8.10E-05,2.96E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,6,5 to 9,9,TRUE,2,Female,5,prevalence,5.13E-05,8.10E-05,2.96E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,7,10 to 14,10,FALSE,1,Male,5,prevalence,0.00010233,0.000151826,6.48E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,7,10 to 14,11,TRUE,1,Male,5,prevalence,0.00010233,0.000151826,6.48E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,7,10 to 14,12,TRUE,1,Male,5,prevalence,0.00010233,0.000151826,6.48E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,7,10 to 14,13,TRUE,1,Male,5,prevalence,0.00010233,0.000151826,6.48E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,7,10 to 14,14,TRUE,1,Male,5,prevalence,0.00010233,0.000151826,6.48E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,7,10 to 14,10,FALSE,2,Female,5,prevalence,9.84E-05,0.000145719,6.22E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,7,10 to 14,11,TRUE,2,Female,5,prevalence,9.84E-05,0.000145719,6.22E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,7,10 to 14,12,TRUE,2,Female,5,prevalence,9.84E-05,0.000145719,6.22E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,7,10 to 14,13,TRUE,2,Female,5,prevalence,9.84E-05,0.000145719,6.22E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,7,10 to 14,14,TRUE,2,Female,5,prevalence,9.84E-05,0.000145719,6.22E-05
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,8,15 to 19,15,FALSE,1,Male,5,prevalence,0.000170623,0.000244133,0.000118229
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,8,15 to 19,16,TRUE,1,Male,5,prevalence,0.000170623,0.000244133,0.000118229
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,8,15 to 19,17,TRUE,1,Male,5,prevalence,0.000170623,0.000244133,0.000118229
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,8,15 to 19,18,TRUE,1,Male,5,prevalence,0.000170623,0.000244133,0.000118229
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,8,15 to 19,19,TRUE,1,Male,5,prevalence,0.000170623,0.000244133,0.000118229
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,8,15 to 19,15,FALSE,2,Female,5,prevalence,0.000158738,0.000229842,0.000108574
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,8,15 to 19,16,TRUE,2,Female,5,prevalence,0.000158738,0.000229842,0.000108574
D356,India,Chronic subarachnoid hemorrhage with CSMR,2019,8,15 to 19,17,TRUE,2,Female,5,prevalence,0.000158738,0.000229842,0.000108574
