location_id,location,disease,time,age_group_id,age_group,age,is_filled,gender_id,gender,measure_id,measure,mean,lower,upper
D356,India,Thyroid cancer,2019,,,1,,1,Male,5,prevalence,1.61E-06,1.61E-06,1.61E-06
D356,India,Thyroid cancer,2019,,,1,,1,Male,6,incidence,1.91E-07,1.91E-07,1.91E-07
D356,India,Thyroid cancer,2019,,,1,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,1,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,1,,2,Female,5,prevalence,4.97E-06,4.97E-06,4.97E-06
D356,India,Thyroid cancer,2019,,,1,,2,Female,6,incidence,5.55E-07,5.55E-07,5.55E-07
D356,India,Thyroid cancer,2019,,,1,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,1,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,2,,1,Male,5,prevalence,1.74E-06,1.74E-06,1.74E-06
D356,India,Thyroid cancer,2019,,,2,,1,Male,6,incidence,2.08E-07,2.08E-07,2.08E-07
D356,India,Thyroid cancer,2019,,,2,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,2,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,2,,2,Female,5,prevalence,5.66E-06,5.66E-06,5.66E-06
D356,India,Thyroid cancer,2019,,,2,,2,Female,6,incidence,6.32E-07,6.32E-07,6.32E-07
D356,India,Thyroid cancer,2019,,,2,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,2,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,3,,1,Male,5,prevalence,1.95E-06,1.95E-06,1.95E-06
D356,India,Thyroid cancer,2019,,,3,,1,Male,6,incidence,2.32E-07,2.32E-07,2.32E-07
D356,India,Thyroid cancer,2019,,,3,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,3,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,3,,2,Female,5,prevalence,6.73E-06,6.73E-06,6.73E-06
D356,India,Thyroid cancer,2019,,,3,,2,Female,6,incidence,7.51E-07,7.51E-07,7.51E-07
D356,India,Thyroid cancer,2019,,,3,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,3,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,4,,1,Male,5,prevalence,2.21E-06,2.21E-06,2.21E-06
D356,India,Thyroid cancer,2019,,,4,,1,Male,6,incidence,2.63E-07,2.63E-07,2.63E-07
D356,India,Thyroid cancer,2019,,,4,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,4,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,4,,2,Female,5,prevalence,8.21E-06,8.21E-06,8.21E-06
D356,India,Thyroid cancer,2019,,,4,,2,Female,6,incidence,9.16E-07,9.16E-07,9.16E-07
D356,India,Thyroid cancer,2019,,,4,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,4,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,5,,1,Male,5,prevalence,2.54E-06,2.54E-06,2.54E-06
D356,India,Thyroid cancer,2019,,,5,,1,Male,6,incidence,3.02E-07,3.02E-07,3.02E-07
D356,India,Thyroid cancer,2019,,,5,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,5,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,5,,2,Female,5,prevalence,1.01E-05,1.01E-05,1.01E-05
D356,India,Thyroid cancer,2019,,,5,,2,Female,6,incidence,1.13E-06,1.13E-06,1.13E-06
D356,India,Thyroid cancer,2019,,,5,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,5,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,6,,1,Male,5,prevalence,2.93E-06,2.93E-06,2.93E-06
D356,India,Thyroid cancer,2019,,,6,,1,Male,6,incidence,3.48E-07,3.48E-07,3.48E-07
D356,India,Thyroid cancer,2019,,,6,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,6,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,6,,2,Female,5,prevalence,1.26E-05,1.26E-05,1.26E-05
D356,India,Thyroid cancer,2019,,,6,,2,Female,6,incidence,1.41E-06,1.41E-06,1.41E-06
D356,India,Thyroid cancer,2019,,,6,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,6,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,7,,1,Male,5,prevalence,3.37E-06,3.37E-06,3.37E-06
D356,India,Thyroid cancer,2019,,,7,,1,Male,6,incidence,4.01E-07,4.01E-07,4.01E-07
D356,India,Thyroid cancer,2019,,,7,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,7,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,7,,2,Female,5,prevalence,1.57E-05,1.57E-05,1.57E-05
D356,India,Thyroid cancer,2019,,,7,,2,Female,6,incidence,1.75E-06,1.75E-06,1.75E-06
D356,India,Thyroid cancer,2019,,,7,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,7,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,8,,1,Male,5,prevalence,3.89E-06,3.89E-06,3.89E-06
D356,India,Thyroid cancer,2019,,,8,,1,Male,6,incidence,4.62E-07,4.62E-07,4.62E-07
D356,India,Thyroid cancer,2019,,,8,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,8,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,8,,2,Female,5,prevalence,1.94E-05,1.94E-05,1.94E-05
D356,India,Thyroid cancer,2019,,,8,,2,Female,6,incidence,2.17E-06,2.17E-06,2.17E-06
D356,India,Thyroid cancer,2019,,,8,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,8,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,9,,1,Male,5,prevalence,4.48E-06,4.48E-06,4.48E-06
D356,India,Thyroid cancer,2019,,,9,,1,Male,6,incidence,5.31E-07,5.31E-07,5.31E-07
D356,India,Thyroid cancer,2019,,,9,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,9,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,9,,2,Female,5,prevalence,2.39E-05,2.39E-05,2.39E-05
D356,India,Thyroid cancer,2019,,,9,,2,Female,6,incidence,2.67E-06,2.67E-06,2.67E-06
D356,India,Thyroid cancer,2019,,,9,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,9,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,10,,1,Male,5,prevalence,5.16E-06,5.16E-06,5.16E-06
D356,India,Thyroid cancer,2019,,,10,,1,Male,6,incidence,6.12E-07,6.12E-07,6.12E-07
D356,India,Thyroid cancer,2019,,,10,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,10,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,10,,2,Female,5,prevalence,2.93E-05,2.93E-05,2.93E-05
D356,India,Thyroid cancer,2019,,,10,,2,Female,6,incidence,3.27E-06,3.27E-06,3.27E-06
D356,India,Thyroid cancer,2019,,,10,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,10,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,11,,1,Male,5,prevalence,5.94E-06,5.94E-06,5.94E-06
D356,India,Thyroid cancer,2019,,,11,,1,Male,6,incidence,7.04E-07,7.04E-07,7.04E-07
D356,India,Thyroid cancer,2019,,,11,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,11,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,11,,2,Female,5,prevalence,3.56E-05,3.56E-05,3.56E-05
D356,India,Thyroid cancer,2019,,,11,,2,Female,6,incidence,3.97E-06,3.97E-06,3.97E-06
D356,India,Thyroid cancer,2019,,,11,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,11,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,12,,1,Male,5,prevalence,6.86E-06,6.86E-06,6.86E-06
D356,India,Thyroid cancer,2019,,,12,,1,Male,6,incidence,8.12E-07,8.12E-07,8.12E-07
D356,India,Thyroid cancer,2019,,,12,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,12,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,12,,2,Female,5,prevalence,4.29E-05,4.29E-05,4.29E-05
D356,India,Thyroid cancer,2019,,,12,,2,Female,6,incidence,4.79E-06,4.79E-06,4.79E-06
D356,India,Thyroid cancer,2019,,,12,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,12,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,13,,1,Male,5,prevalence,7.92E-06,7.92E-06,7.92E-06
D356,India,Thyroid cancer,2019,,,13,,1,Male,6,incidence,9.37E-07,9.37E-07,9.37E-07
D356,India,Thyroid cancer,2019,,,13,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,13,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,13,,2,Female,5,prevalence,5.13E-05,5.13E-05,5.13E-05
D356,India,Thyroid cancer,2019,,,13,,2,Female,6,incidence,5.73E-06,5.73E-06,5.73E-06
D356,India,Thyroid cancer,2019,,,13,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,13,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,14,,1,Male,5,prevalence,9.16E-06,9.16E-06,9.16E-06
D356,India,Thyroid cancer,2019,,,14,,1,Male,6,incidence,1.08E-06,1.08E-06,1.08E-06
D356,India,Thyroid cancer,2019,,,14,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,14,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,14,,2,Female,5,prevalence,6.07E-05,6.07E-05,6.07E-05
D356,India,Thyroid cancer,2019,,,14,,2,Female,6,incidence,6.78E-06,6.78E-06,6.78E-06
D356,India,Thyroid cancer,2019,,,14,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,14,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,15,,1,Male,5,prevalence,1.06E-05,1.06E-05,1.06E-05
D356,India,Thyroid cancer,2019,,,15,,1,Male,6,incidence,1.25E-06,1.25E-06,1.25E-06
D356,India,Thyroid cancer,2019,,,15,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,15,,1,Male,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,15,,2,Female,5,prevalence,7.12E-05,7.12E-05,7.12E-05
D356,India,Thyroid cancer,2019,,,15,,2,Female,6,incidence,7.96E-06,7.96E-06,7.96E-06
D356,India,Thyroid cancer,2019,,,15,,2,Female,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,15,,2,Female,15,mortality,0,0,0
D356,India,Thyroid cancer,2019,,,16,,1,Male,5,prevalence,1.23E-05,1.23E-05,1.23E-05
D356,India,Thyroid cancer,2019,,,16,,1,Male,6,incidence,1.45E-06,1.45E-06,1.45E-06
D356,India,Thyroid cancer,2019,,,16,,1,Male,7,remission,0,0,0
D356,India,Thyroid cancer,2019,,,16,,1,Male,15,mortality,0,0,0
