Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1.07,1.07
18,1.07,1.07
19,1.07,1.07
20,1.07,1.07
21,1.07,1.07
22,1.07,1.07
23,1.07,1.07
24,1.07,1.07
25,1.07,1.07
26,1.07,1.07
27,1.07,1.07
28,1.07,1.07
29,1.07,1.07
30,1.07,1.07
31,1.07,1.07
32,1.07,1.07
33,1.07,1.07
34,1.07,1.07
35,1.07,1.07
36,1.07,1.07
37,1.07,1.07
38,1.07,1.07
39,1.07,1.07
40,1.07,1.07
41,1.07,1.07
42,1.07,1.07
43,1.07,1.07
44,1.07,1.07
45,1.07,1.07
46,1.07,1.07
47,1.07,1.07
48,1.07,1.07
49,1.07,1.07
50,1.07,1.07
51,1.07,1.07
52,1.07,1.07
53,1.07,1.07
54,1.07,1.07
55,1.07,1.07
56,1.07,1.07
57,1.07,1.07
58,1.07,1.07
59,1.07,1.07
60,1.07,1.07
61,1.07,1.07
62,1.07,1.07
63,1.07,1.07
64,1.07,1.07
65,1.07,1.07
66,1.07,1.07
67,1.07,1.07
68,1.07,1.07
69,1.07,1.07
70,1.07,1.07
71,1.07,1.07
72,1.07,1.07
73,1.07,1.07
74,1.07,1.07
75,1.07,1.07
76,1.07,1.07
77,1.07,1.07
78,1.07,1.07
79,1.07,1.07
80,1.07,1.07
81,1.07,1.07
82,1.07,1.07
83,1.07,1.07
84,1.07,1.07
85,1.07,1.07
86,1.07,1.07
87,1.07,1.07
88,1.07,1.07
89,1.07,1.07
90,1.07,1.07
91,1.07,1.07
92,1.07,1.07
93,1.07,1.07
94,1.07,1.07
95,1.07,1.07
96,1.07,1.07
97,1.07,1.07
98,1.07,1.07
99,1.07,1.07
100,1.07,1.07
101,1.07,1.07
102,1.07,1.07
103,1.07,1.07
104,1.07,1.07
105,1.07,1.07
106,1.07,1.07
107,1.07,1.07
108,1.07,1.07
109,1.07,1.07
