Age,Male,Female
0,8.13,8.13
1,8.13,8.13
2,8.13,8.13
3,8.13,8.13
4,8.13,8.13
5,8.13,8.13
6,8.13,8.13
7,8.13,8.13
8,8.13,8.13
9,8.13,8.13
10,8.13,8.13
11,8.13,8.13
12,8.13,8.13
13,8.13,8.13
14,8.13,8.13
15,8.13,8.13
16,8.13,8.13
17,8.13,8.13
18,8.13,8.13
19,8.13,8.13
20,8.13,8.13
21,8.13,8.13
22,8.13,8.13
23,8.13,8.13
24,8.13,8.13
25,8.13,8.13
26,8.13,8.13
27,8.13,8.13
28,8.13,8.13
29,8.13,8.13
30,8.13,8.13
31,8.13,8.13
32,8.13,8.13
33,8.13,8.13
34,8.13,8.13
35,8.13,8.13
36,8.13,8.13
37,8.13,8.13
38,8.13,8.13
39,8.13,8.13
40,8.13,8.13
41,8.13,8.13
42,8.13,8.13
43,8.13,8.13
44,8.13,8.13
45,8.13,8.13
46,8.13,8.13
47,8.13,8.13
48,8.13,8.13
49,8.13,8.13
50,8.13,8.13
51,8.13,8.13
52,8.13,8.13
53,8.13,8.13
54,8.13,8.13
55,8.13,8.13
56,8.13,8.13
57,8.13,8.13
58,8.13,8.13
59,8.13,8.13
60,8.13,8.13
61,8.13,8.13
62,8.13,8.13
63,8.13,8.13
64,8.13,8.13
65,8.13,8.13
66,8.13,8.13
67,8.13,8.13
68,8.13,8.13
69,8.13,8.13
70,8.13,8.13
71,8.13,8.13
72,8.13,8.13
73,8.13,8.13
74,8.13,8.13
75,8.13,8.13
76,8.13,8.13
77,8.13,8.13
78,8.13,8.13
79,8.13,8.13
80,8.13,8.13
81,8.13,8.13
82,8.13,8.13
83,8.13,8.13
84,8.13,8.13
85,8.13,8.13
86,8.13,8.13
87,8.13,8.13
88,8.13,8.13
89,8.13,8.13
90,8.13,8.13
91,8.13,8.13
92,8.13,8.13
93,8.13,8.13
94,8.13,8.13
95,8.13,8.13
96,8.13,8.13
97,8.13,8.13
98,8.13,8.13
99,8.13,8.13
100,8.13,8.13
101,8.13,8.13
102,8.13,8.13
103,8.13,8.13
104,8.13,8.13
105,8.13,8.13
106,8.13,8.13
107,8.13,8.13
108,8.13,8.13
109,8.13,8.13
110,8.13,8.13
