Age,Male,Female
0,1.084,1.084
1,1.084,1.084
2,1.084,1.084
3,1.084,1.084
4,1.084,1.084
5,1.084,1.084
6,1.084,1.084
7,1.084,1.084
8,1.084,1.084
9,1.084,1.084
10,1.084,1.084
11,1.084,1.084
12,1.084,1.084
13,1.084,1.084
14,1.084,1.084
15,1.084,1.084
16,1.084,1.084
17,1.084,1.084
18,1.084,1.084
19,1.084,1.084
20,1.084,1.084
21,1.084,1.084
22,1.084,1.084
23,1.084,1.084
24,1.084,1.084
25,1.084,1.084
26,1.084,1.084
27,1.084,1.084
28,1.084,1.084
29,1.084,1.084
30,1.084,1.084
31,1.084,1.084
32,1.084,1.084
33,1.084,1.084
34,1.084,1.084
35,1.084,1.084
36,1.084,1.084
37,1.084,1.084
38,1.084,1.084
39,1.084,1.084
40,1.084,1.084
41,1.084,1.084
42,1.084,1.084
43,1.084,1.084
44,1.084,1.084
45,1.084,1.084
46,1.084,1.084
47,1.084,1.084
48,1.084,1.084
49,1.084,1.084
50,1.084,1.084
51,1.084,1.084
52,1.084,1.084
53,1.084,1.084
54,1.084,1.084
55,1.084,1.084
56,1.084,1.084
57,1.084,1.084
58,1.084,1.084
59,1.084,1.084
60,1.084,1.084
61,1.084,1.084
62,1.084,1.084
63,1.084,1.084
64,1.084,1.084
65,1.084,1.084
66,1.084,1.084
67,1.084,1.084
68,1.084,1.084
69,1.084,1.084
70,1.084,1.084
71,1.084,1.084
72,1.084,1.084
73,1.084,1.084
74,1.084,1.084
75,1.084,1.084
76,1.084,1.084
77,1.084,1.084
78,1.084,1.084
79,1.084,1.084
80,1.084,1.084
81,1.084,1.084
82,1.084,1.084
83,1.084,1.084
84,1.084,1.084
85,1.084,1.084
86,1.084,1.084
87,1.084,1.084
88,1.084,1.084
89,1.084,1.084
90,1.084,1.084
91,1.084,1.084
92,1.084,1.084
93,1.084,1.084
94,1.084,1.084
95,1.084,1.084
96,1.084,1.084
97,1.084,1.084
98,1.084,1.084
99,1.084,1.084
100,1.084,1.084
101,1.084,1.084
102,1.084,1.084
103,1.084,1.084
104,1.084,1.084
105,1.084,1.084
106,1.084,1.084
107,1.084,1.084
108,1.084,1.084
109,1.084,1.084
110,1.084,1.084
