Age,Male,Female
0,4.13,4.13
1,4.13,4.13
2,4.13,4.13
3,4.13,4.13
4,4.13,4.13
5,4.13,4.13
6,4.13,4.13
7,4.13,4.13
8,4.13,4.13
9,4.13,4.13
10,4.13,4.13
11,4.13,4.13
12,4.13,4.13
13,4.13,4.13
14,4.13,4.13
15,4.13,4.13
16,4.13,4.13
17,4.13,4.13
18,4.13,4.13
19,4.13,4.13
20,4.13,4.13
21,4.13,4.13
22,4.13,4.13
23,4.13,4.13
24,4.13,4.13
25,4.13,4.13
26,4.13,4.13
27,4.13,4.13
28,4.13,4.13
29,4.13,4.13
30,4.13,4.13
31,4.13,4.13
32,4.13,4.13
33,4.13,4.13
34,4.13,4.13
35,4.13,4.13
36,4.13,4.13
37,4.13,4.13
38,4.13,4.13
39,4.13,4.13
40,4.13,4.13
41,4.13,4.13
42,4.13,4.13
43,4.13,4.13
44,4.13,4.13
45,4.13,4.13
46,4.13,4.13
47,4.13,4.13
48,4.13,4.13
49,4.13,4.13
50,4.13,4.13
51,4.13,4.13
52,4.13,4.13
53,4.13,4.13
54,4.13,4.13
55,4.13,4.13
56,4.13,4.13
57,4.13,4.13
58,4.13,4.13
59,4.13,4.13
60,4.13,4.13
61,4.13,4.13
62,4.13,4.13
63,4.13,4.13
64,4.13,4.13
65,4.13,4.13
66,4.13,4.13
67,4.13,4.13
68,4.13,4.13
69,4.13,4.13
70,4.13,4.13
71,4.13,4.13
72,4.13,4.13
73,4.13,4.13
74,4.13,4.13
75,4.13,4.13
76,4.13,4.13
77,4.13,4.13
78,4.13,4.13
79,4.13,4.13
80,4.13,4.13
81,4.13,4.13
82,4.13,4.13
83,4.13,4.13
84,4.13,4.13
85,4.13,4.13
86,4.13,4.13
87,4.13,4.13
88,4.13,4.13
89,4.13,4.13
90,4.13,4.13
91,4.13,4.13
92,4.13,4.13
93,4.13,4.13
94,4.13,4.13
95,4.13,4.13
96,4.13,4.13
97,4.13,4.13
98,4.13,4.13
99,4.13,4.13
100,4.13,4.13
101,4.13,4.13
102,4.13,4.13
103,4.13,4.13
104,4.13,4.13
105,4.13,4.13
106,4.13,4.13
107,4.13,4.13
108,4.13,4.13
109,4.13,4.13
110,4.13,4.13
