Age,Male,Female
0,1.53,1.53
1,1.53,1.53
2,1.53,1.53
3,1.53,1.53
4,1.53,1.53
5,1.53,1.53
6,1.53,1.53
7,1.53,1.53
8,1.53,1.53
9,1.53,1.53
10,1.53,1.53
11,1.53,1.53
12,1.53,1.53
13,1.53,1.53
14,1.53,1.53
15,1.53,1.53
16,1.53,1.53
17,1.53,1.53
18,1.53,1.53
19,1.53,1.53
20,1.53,1.53
21,1.53,1.53
22,1.53,1.53
23,1.53,1.53
24,1.53,1.53
25,1.53,1.53
26,1.53,1.53
27,1.53,1.53
28,1.53,1.53
29,1.53,1.53
30,1.53,1.53
31,1.53,1.53
32,1.53,1.53
33,1.53,1.53
34,1.53,1.53
35,1.53,1.53
36,1.53,1.53
37,1.53,1.53
38,1.53,1.53
39,1.53,1.53
40,1.53,1.53
41,1.53,1.53
42,1.53,1.53
43,1.53,1.53
44,1.53,1.53
45,1.53,1.53
46,1.53,1.53
47,1.53,1.53
48,1.53,1.53
49,1.53,1.53
50,1.53,1.53
51,1.53,1.53
52,1.53,1.53
53,1.53,1.53
54,1.53,1.53
55,1.53,1.53
56,1.53,1.53
57,1.53,1.53
58,1.53,1.53
59,1.53,1.53
60,1.53,1.53
61,1.53,1.53
62,1.53,1.53
63,1.53,1.53
64,1.53,1.53
65,1.53,1.53
66,1.53,1.53
67,1.53,1.53
68,1.53,1.53
69,1.53,1.53
70,1.53,1.53
71,1.53,1.53
72,1.53,1.53
73,1.53,1.53
74,1.53,1.53
75,1.53,1.53
76,1.53,1.53
77,1.53,1.53
78,1.53,1.53
79,1.53,1.53
80,1.53,1.53
81,1.53,1.53
82,1.53,1.53
83,1.53,1.53
84,1.53,1.53
85,1.53,1.53
86,1.53,1.53
87,1.53,1.53
88,1.53,1.53
89,1.53,1.53
90,1.53,1.53
91,1.53,1.53
92,1.53,1.53
93,1.53,1.53
94,1.53,1.53
95,1.53,1.53
96,1.53,1.53
97,1.53,1.53
98,1.53,1.53
99,1.53,1.53
100,1.53,1.53
101,1.53,1.53
102,1.53,1.53
103,1.53,1.53
104,1.53,1.53
105,1.53,1.53
106,1.53,1.53
107,1.53,1.53
108,1.53,1.53
109,1.53,1.53
110,1.53,1.53
