LocID,Location,VarID,Variant,Time,Births,SRB,LEx,LExMale,LExFemale,Deaths,DeathsMale,DeathsFemale,NetMigrations
250,France,2,Medium,1950,868587,1.051,66.3819,63.4363,69.1887,533995,271815,262180,46927
250,France,2,Medium,1951,842897,1.052,66.0939,63.1697,68.8963,566424,286483,279941,50613
250,France,2,Medium,1952,833997,1.052,67.3935,64.4143,70.225,525413,267076,258336,55813
250,France,2,Medium,1953,812866,1.052,67.3185,64.286,70.2325,558275,282202,276074,62804
250,France,2,Medium,1954,815484,1.053,68.1874,65.0316,71.2173,519916,265877,254038,71729
250,France,2,Medium,1955,814445,1.048,68.4436,65.2285,71.5425,527292,269310,257983,81966
250,France,2,Medium,1956,814680,1.05,68.4643,65.1662,71.6761,546968,279479,267489,93911
250,France,2,Medium,1957,820267,1.048,68.8962,65.4975,72.2121,532248,273784,258464,108096
250,France,2,Medium,1958,813589,1.047,70.1063,66.8491,73.2303,500507,253888,246619,123337
250,France,2,Medium,1959,826033,1.048,70.1671,66.8555,73.3621,508689,258622,250068,141224
250,France,2,Medium,1960,816847,1.049,70.3667,67.0228,73.6118,520826,265520,255306,160864
250,France,2,Medium,1961,832064,1.047,70.9586,67.4605,74.3669,499963,257019,242945,177923
250,France,2,Medium,1962,822996,1.047,70.4713,66.9912,73.899,538654,274763,263891,189952
250,France,2,Medium,1963,852898,1.046,70.3223,66.8075,73.8109,553908,283148,270760,198822
250,France,2,Medium,1964,856279,1.049,71.2797,67.6797,74.8247,515775,265985,249789,203089
250,France,2,Medium,1965,847524,1.05,71.1034,67.4702,74.7236,539894,278510,261383,202497
250,France,2,Medium,1966,846659,1.049,71.5098,67.8207,75.1805,525576,271530,254046,197365
250,France,2,Medium,1967,830483,1.05,71.4927,67.7867,75.203,540479,279579,260900,188179
250,France,2,Medium,1968,829872,1.049,71.4792,67.76,75.2191,551975,284954,267021,175643
250,France,2,Medium,1969,840237,1.05,71.2021,67.4156,75.0526,571883,296839,275043,157646
250,France,2,Medium,1970,853094,1.054,72.0902,68.3702,75.8122,541997,278744,263253,135988
250,France,2,Medium,1971,885665,1.053,72.0746,68.3073,75.8738,554164,285161,269003,115636
250,France,2,Medium,1972,884138,1.055,72.3163,68.482,76.1929,549726,284915,264811,97770
250,France,2,Medium,1973,851603,1.055,72.4799,68.6861,76.3168,558625,287418,271207,82273
250,France,2,Medium,1974,805767,1.055,72.8103,68.9311,76.7469,552097,285882,266215,70036
250,France,2,Medium,1975,748480,1.052,72.9072,69.0162,76.8721,560204,290659,269545,60976
