LocID,Location,VarID,Variant,Time,Age,DeathMale,DeathFemale,DeathTotal
826,United Kingdom,2,Medium,1950,0,14409,10525,24934
826,United Kingdom,2,Medium,1950,1,1078,952,2029
826,United Kingdom,2,Medium,1950,2,719,555,1274
826,United Kingdom,2,Medium,1950,3,532,440,972
826,United Kingdom,2,Medium,1950,4,384,314,698
826,United Kingdom,2,Medium,1950,5,389,257,646
826,United Kingdom,2,Medium,1950,6,317,214,530
826,United Kingdom,2,Medium,1950,7,268,193,460
826,United Kingdom,2,Medium,1950,8,256,153,410
826,United Kingdom,2,Medium,1950,9,167,134,301
826,United Kingdom,2,Medium,1950,10,176,123,299
826,United Kingdom,2,Medium,1950,11,198,112,310
826,United Kingdom,2,Medium,1950,12,170,145,316
826,United Kingdom,2,Medium,1950,13,210,154,364
826,United Kingdom,2,Medium,1950,14,213,139,352
826,United Kingdom,2,Medium,1950,15,260,208,468
826,United Kingdom,2,Medium,1950,16,297,227,524
826,United Kingdom,2,Medium,1950,17,315,266,581
826,United Kingdom,2,Medium,1950,18,368,302,670
826,United Kingdom,2,Medium,1950,19,376,360,735
826,United Kingdom,2,Medium,1950,20,415,371,786
826,United Kingdom,2,Medium,1950,21,426,418,844
826,United Kingdom,2,Medium,1950,22,464,400,864
826,United Kingdom,2,Medium,1950,23,507,426,933
826,United Kingdom,2,Medium,1950,24,566,468,1035
826,United Kingdom,2,Medium,1950,25,558,514,1072
826,United Kingdom,2,Medium,1950,26,632,544,1176
826,United Kingdom,2,Medium,1950,27,641,550,1192
826,United Kingdom,2,Medium,1950,28,656,627,1283
826,United Kingdom,2,Medium,1950,29,700,632,1332
826,United Kingdom,2,Medium,1950,30,779,691,1470
826,United Kingdom,2,Medium,1950,31,493,514,1007
826,United Kingdom,2,Medium,1950,32,536,523,1059
826,United Kingdom,2,Medium,1950,33,624,526,1150
826,United Kingdom,2,Medium,1950,34,683,603,1286
826,United Kingdom,2,Medium,1950,35,824,745,1568
826,United Kingdom,2,Medium,1950,36,829,788,1617
826,United Kingdom,2,Medium,1950,37,876,769,1645
826,United Kingdom,2,Medium,1950,38,983,850,1833
826,United Kingdom,2,Medium,1950,39,1067,892,1959
826,United Kingdom,2,Medium,1950,40,1164,945,2109
826,United Kingdom,2,Medium,1950,41,1285,1026,2311
826,United Kingdom,2,Medium,1950,42,1434,1102,2536
826,United Kingdom,2,Medium,1950,43,1472,1131,2603
826,United Kingdom,2,Medium,1950,44,1616,1209,2825
826,United Kingdom,2,Medium,1950,45,1868,1391,3259
826,United Kingdom,2,Medium,1950,46,1988,1434,3422
826,United Kingdom,2,Medium,1950,47,2273,1609,3882
826,United Kingdom,2,Medium,1950,48,2433,1693,4126
826,United Kingdom,2,Medium,1950,49,2767,1918,4686
826,United Kingdom,2,Medium,1950,50,2881,2028,4909
826,United Kingdom,2,Medium,1950,51,2795,1884,4679
826,United Kingdom,2,Medium,1950,52,3082,2235,5317
826,United Kingdom,2,Medium,1950,53,3432,2341,5773
826,United Kingdom,2,Medium,1950,54,3616,2571,6187
826,United Kingdom,2,Medium,1950,55,3665,2520,6185
826,United Kingdom,2,Medium,1950,56,4033,2797,6831
826,United Kingdom,2,Medium,1950,57,4383,3028,7411
826,United Kingdom,2,Medium,1950,58,4771,3181,7953
826,United Kingdom,2,Medium,1950,59,5140,3549,8689
826,United Kingdom,2,Medium,1950,60,5267,3706,8973
826,United Kingdom,2,Medium,1950,61,5537,3979,9516
826,United Kingdom,2,Medium,1950,62,6224,4393,10618
826,United Kingdom,2,Medium,1950,63,6659,4791,11450
826,United Kingdom,2,Medium,1950,64,7108,4981,12090
826,United Kingdom,2,Medium,1950,65,7332,5416,12748
826,United Kingdom,2,Medium,1950,66,7107,5486,12593
826,United Kingdom,2,Medium,1950,67,7596,6232,13828
826,United Kingdom,2,Medium,1950,68,8019,6663,14682
