Age,Sodium,Protein,Fat,PA,Energy,BMI
0,0.394641158028679,5.7145829250273,4.21111085941999,-112.470632190919,-72.0027402703931,2.71566632075458
1,0.26244924225832,2.48366478903192,-0.391988530883651,-71.7821559139884,-86.5401971069086,2.05614747427686
2,0.152514006036959,-0.150981124242477,-4.0246402149422,-37.8602156436068,-97.2279164259353,1.48089250998332
3,0.0636906969918418,-2.22085288494108,-6.74290372461502,-10.2645938583082,-104.314596770178,0.98695428959422
4,-0.00552955752067241,-3.76753460783186,-8.6214304950625,11.5921269678802,-108.125011744794,0.570534777341482
5,-0.0568709935504659,-4.838447464761,-9.74639308400296,28.393283518868,-109.019726631803,0.227335784345591
6,-0.0921223389517634,-5.48250165020997,-10.2083121670908,40.8652358699201,-107.353445605001,-0.0471125188996595
7,-0.113011518800905,-5.74642760789818,-10.0960588361873,49.731241514427,-103.439323360984,-0.257222784301288
8,-0.121127687729976,-5.67241192386778,-9.49299385522582,55.6780413083261,-97.5254162815277,-0.407276535774837
9,-0.117902132951766,-5.29739368972646,-8.47569763854483,59.3375421109686,-89.7872386649606,-0.501524272901921
10,-0.10464720233583,-4.65404448002189,-7.11515884083857,61.2822456842773,-80.3375343036801,-0.54443664044992
11,-0.082640276303489,-3.77312185406176,-5.47975129913343,62.0300757229588,-69.2513459906536,-0.541044480780258
12,-0.0532302594737764,-2.68661277714973,-3.63894949133476,62.052660859124,-56.6017366328506,-0.497278318249752
13,-0.0179389587764542,-1.4309185709855,-1.66658645715293,61.7812135590252,-42.4995069107799,-0.420209258174353
14,0.021469924511694,-0.0493078752097205,0.357428747330715,61.6057468061376,-27.1293020851735,-0.318106379153953
15,0.0629755904709861,1.4070133110649,2.34767061559577,61.865977476205,-10.7748171146141,-0.200258675367323
16,0.104349753381371,2.87961264160668,4.216263104267,62.8351513097255,6.17256575367719,-0.0765560375544752
17,0.143269166903524,4.30538134539898,5.87811810910389,64.7004377948451,23.2246217362126,0.0431261874242921
18,0.177476217803464,5.62061626783105,7.25751130337923,67.5448886886261,39.8260740279238,0.149651892380156
19,0.204962483406167,6.76601139532929,8.29482715745058,71.3359314975887,55.3992732346269,0.235345382403128
20,0.224144782125801,7.69173737319002,8.95221335122864,75.9240417152428,69.3968455905824,0.294593362321695
21,0.234003978578105,8.36175214656345,9.21705633044394,81.0530079877512,81.3538325426225,0.324232307020711
22,0.234163482318053,8.75662516191204,9.10258818436532,86.3807062808955,90.9309807618883,0.323664148137098
23,0.224895488716606,8.87444200087103,8.64547275608425,91.507223238993,97.9426645368285,0.29469079447388
24,0.20705604009499,8.72972108274976,7.90077692401138,96.0060688926383,102.366002243405,0.241104382448292
25,0.181962066318152,8.35063514036858,6.93518952846253,99.4543504284375,104.331315899475,0.16810607655999
26,0.15123220442799,7.77510645722776,5.81961080397414,101.459021322807,104.097316654816,0.0816457452531942
27,0.116616885060441,7.04647976832166,4.6222546461629,101.678209107497,102.016554332636,-0.0122237624209625
28,0.0798416782684228,6.2094523744816,3.40319880108765,99.8384904489249,98.497360358263,-0.107898403905672
29,0.0424821890075728,5.30678064104885,2.21095032844073,95.7501566988267,93.9677850942971,-0.200626565603521
