Age,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,PhysicalActivity,EnergyIntake,Weight,Height
0,211.2385858,39.35158543,34.43914504,2129.806748,1.6,1361.996184,3.5,51
1,213.8623712,39.74119711,34.84279464,2155.255967,1.6,1377.901197,9,73
2,218.9628652,40.5017854,35.62801147,2204.651535,1.6,1408.851417,11,86
3,226.2649691,41.59813923,36.75343484,2275.192209,1.6,1453.235125,14,94
4,235.3987735,42.98209323,38.16331858,2363.134872,1.6,1508.877048,15,101
5,245.9388347,44.59690381,39.79333518,2464.216442,1.6,1573.262063,16,107
6,257.4410107,46.38154891,41.57605434,2574.049744,1.6,1643.746936,19,112
7,269.4705915,48.2743622,43.44518804,2688.425543,1.6,1717.725501,21,119
8,281.6193599,50.21578997,45.33826007,2803.493695,1.6,1792.734329,24,125
9,293.5132628,52.15041116,47.1979352,2915.838752,1.6,1866.507952,27,131
10,304.8151862,54.02855142,48.97263763,3022.494418,1.6,1937.007543,31,137
11,315.2280971,55.80781044,50.61718688,3120.949707,1.6,2002.450363,35,143
12,324.5025105,57.45464358,52.09398394,3209.187033,1.6,2061.359532,40,148
13,332.4494252,58.94588833,53.37488172,3285.765552,1.6,2112.638324,44,152
14,338.9565557,60.26991127,54.44341626,3349.932284,1.6,2155.655836,46,155
15,344.0030034,61.42695278,55.29671687,3401.719225,1.6,2190.317601,48,156
16,347.6663723,62.42830553,55.94627774,3441.975677,1.6,2217.090107,50,157
17,350.1173222,63.29417153,56.41692748,3472.294717,1.6,2236.954689,51,157.5
18,351.59944,64.05034189,56.74374721,3494.818989,1.6,2251.282523,54.92,158
19,352.3963532,64.72415144,56.96724655,3511.945795,1.6,2261.643955,54.92,158
20,352.7918562,65.3403737,57.12762997,3525.983201,1.6,2269.585156,54.92,158
21,353.0311476,65.91777081,57.25929275,3538.826556,1.6,2276.416279,54.92,158
22,353.2912504,66.46687496,57.38666456,3551.722278,1.6,2283.053788,54.92,158
23,353.6662623,66.98929941,57.52217314,3565.163537,1.6,2289.94583,54.92,158
24,354.1691427,67.47855279,57.66655233,3578.92896,1.6,2297.088267,54.92,158
25,354.747635,67.92206308,57.81115552,3592.241694,1.6,2304.117497,54.92,158
26,355.3089538,68.3039735,57.94153359,3604.002677,1.6,2310.451197,54.92,158
27,355.7468089,68.60825692,58.04139555,3613.044116,1.6,2315.443052,54.92,158
28,355.9651638,68.82175783,58.09617809,3618.356048,1.6,2318.521947,54.92,158
29,355.8951834,68.93684686,58.09571814,3619.254865,1.6,2319.296243,54.92,158
30,355.504199,68.95341838,58.03582249,3615.48051,1.6,2317.615037,54.92,158
31,354.7974165,68.87998054,57.91876566,3607.223502,1.6,2313.58718,54.92,158
32,353.8141386,68.73362442,57.75287958,3595.091418,1.6,2307.563962,54.92,158
33,352.6205049,68.53876125,57.55144505,3580.028279,1.6,2300.093437,54.92,158
34,351.3004684,68.32470587,57.33109701,3563.201564,1.6,2291.854952,54.92,158
35,349.9463027,68.12242316,57.10995739,3545.872176,1.6,2283.582957,54.92,158
36,348.6495559,67.96096995,56.9057208,3529.263575,1.6,2275.989627,54.92,158
37,347.4931487,67.86426691,56.73392616,3514.446095,1.6,2269.695931,54.92,158
38,346.5451413,67.84877082,56.60662603,3502.250241,1.6,2265.179414,54.92,158
39,345.8545219,67.92239447,56.53159779,3493.217804,1.6,2262.743901,54.92,158
40,345.449128,68.0847104,56.51213563,3487.592569,1.6,2262.512074,54.92,158
41,345.3355745,68.32818485,56.54734961,3485.345364,1.6,2264.437772,54.92,158
42,345.5008688,68.64001533,56.63281897,3486.223086,1.6,2268.332156,54.92,158
43,345.9153208,69.00413459,56.76142151,3489.80978,1.6,2273.897388,54.92,158
44,346.5363737,69.4030679,56.92419561,3495.589485,1.6,2280.762846,54.92,158
45,347.3130201,69.81951085,57.11115334,3503.004101,1.6,2288.520928,54.92,158
46,348.1904726,70.23763798,57.31202102,3511.50293,1.6,2296.761129,54.92,158
47,349.1146831,70.64419616,57.51690641,3520.582582,1.6,2305.101213,54.92,158
48,350.0362226,71.02938086,57.71687739,3529.815963,1.6,2313.213424,54.92,158
49,350.9130175,71.38738968,57.904405,3538.868635,1.6,2320.84252,54.92,158
50,351.7115786,71.71647358,58.07360427,3547.500605,1.6,2327.812221,54.92,158
51,352.4066438,72.01832973,58.22022315,3555.552988,1.6,2334.018121,54.92,158
52,352.9795321,72.29681385,58.34138585,3562.921834,1.6,2339.408076,54.92,158
53,353.4158147,72.55616085,58.43517016,3569.524754,1.6,2343.954611,54.92,158
54,353.7030779,72.79910759,58.50015959,3575.268587,1.6,2347.6267,54.92,158
55,353.8294999,73.02542431,58.53512736,3580.026915,1.6,2350.369156,54.92,158
56,353.7837157,73.23131711,58.53897325,3583.634191,1.6,2352.09631,54.92,158
57,353.5560766,73.40995842,58.51095078,3585.898959,1.6,2352.702956,54.92,158
58,353.1410047,73.55309103,58.45112312,3586.633132,1.6,2352.090563,54.92,158
59,352.5397978,73.65333026,58.36090212,3585.689221,1.6,2350.202095,54.92,158
60,351.7630441,73.70656993,58.2434845,3582.994637,1.6,2347.055785,54.92,158
61,350.8318308,73.71385091,58.1040176,3578.572784,1.6,2342.767944,54.92,158
62,349.7771914,73.68219547,57.94939702,3572.545131,1.6,2337.557582,54.92,158
63,348.637711,73.62419261,57.78770095,3565.115173,1.6,2331.730544,54.92,158
64,347.4557515,73.55645207,57.62737028,3556.541873,1.6,2325.646569,54.92,158
65,346.273192,73.49732323,57.47631997,3547.113637,1.6,2319.677322,54.92,158
66,345.1277397,73.46443266,57.34119058,3537.132572,1.6,2314.165655,54.92,158
67,344.0506653,73.47259556,57.22691436,3526.912643,1.6,2309.39537,54.92,158
68,343.0663088,73.53252434,57.13668262,3516.787457,1.6,2305.577183,54.92,158
69,342.19306,73.65053604,57.07228592,3507.117174,1.6,2302.851395,54.92,158
70,341.4449847,73.82920952,57.03468854,3498.282934,1.6,2301.302902,54.92,158
71,340.8330316,74.06871698,57.02462722,3490.661848,1.6,2300.980817,54.92,158
72,340.3649287,74.36839221,57.04301449,3484.583925,1.6,2301.914144,54.92,158
73,340.0434219,74.72802806,57.09098848,3480.280743,1.6,2304.116775,54.92,158
74,339.8632556,75.14843293,57.16956457,3477.840321,1.6,2307.578924,54.92,158
75,339.8080291,75.63093001,57.27898232,3477.182158,1.6,2312.247066,54.92,158
76,339.8484989,76.17574899,57.41795914,3478.061507,1.6,2317.99917,54.92,158
77,339.9438348,76.77960101,57.5831227,3480.104933,1.6,2324.625146,54.92,158
78,340.0466736,77.43307624,57.76887457,3482.872596,1.6,2331.822855,54.92,158
79,340.1116315,78.11874025,57.96783451,3485.937556,1.6,2339.216987,54.92,158
80,340.1055433,78.81080887,58.17184858,3488.968587,1.6,2346.401813,54.92,158
81,340.0165424,79.47696153,58.37335726,3491.799875,1.6,2353.000393,54.92,158
82,339.8586864,80.08222725,58.56676068,3494.469269,1.6,2358.724768,54.92,158
83,339.6695044,80.59409932,58.74933948,3497.208004,1.6,2363.41687,54.92,158
84,339.4995959,80.98737853,58.92133166,3500.371516,1.6,2367.051184,54.92,158
85,339.3958754,81.24702185,59.08494492,3504.314403,1.6,2369.688836,54.92,158
86,339.3824876,81.36769653,59.24238118,3509.230842,1.6,2371.387834,54.92,158
87,339.4449892,81.34980304,59.3933072,3514.99977,1.6,2372.091773,54.92,158
88,339.5233855,81.19314087,59.53251659,3521.084289,1.6,2371.533624,54.92,158
89,339.5177553,80.89063914,59.64867051,3526.530427,1.6,2369.195688,54.92,158
90,339.3068036,80.42509134,59.72486992,3530.08905,1.6,2364.357285,54.92,158
91,338.7756621,79.77125686,59.74137201,3530.450123,1.6,2356.238236,54.92,158
92,337.845965,78.90404528,59.68010882,3526.541602,1.6,2344.215015,54.92,158
93,336.499904,77.81127388,59.52999982,3517.818844,1.6,2328.057785,54.92,158
94,334.7913701,76.50747722,59.29163134,3504.466379,1.6,2308.122055,54.92,158
95,332.8410954,75.04424942,58.97989096,3487.454771,1.6,2285.434968,54.92,158
96,330.8176056,73.51307395,58.62362698,3468.435088,1.6,2261.642543,54.92,158
97,328.9098773,72.03845795,58.26219249,3449.496983,1.6,2238.821122,54.92,158
98,327.2992223,70.76185155,57.93954851,3432.848192,1.6,2219.190804,54.92,158
99,326.1366007,69.81943549,57.69717462,3420.483567,1.6,2204.789587,54.92,158
100,325.5281547,69.31862786,57.56722763,3413.901133,1.6,2197.170136,54.92,158
