Age,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,EnergyIntake,PhysicalActivity,Weight,Height
0,235.742631,33.33161337,36.31297365,2330.388632,1388.206939,1.6,3.5,53
1,236.5885876,33.44970713,36.44175512,2338.632565,1393.168735,1.6,9,74
2,238.2633026,33.6838173,36.69676616,2354.959203,1402.994631,1.6,12,87
3,240.7329509,34.0298526,37.07298579,2379.051467,1417.49242,1.6,14,96
4,243.9481984,34.48183196,37.56308593,2410.44693,1436.381625,1.6,16,103
5,247.8458189,35.0320642,38.15766578,2448.552992,1459.302517,1.6,17,107.0732388
6,252.3507393,35.67137564,38.84554872,2492.666053,1485.827533,1.6,19,113.1410019
7,257.3784272,36.38937634,39.61412902,2541.993837,1515.474612,1.6,22,118.5760379
8,262.8375182,37.17475391,40.44975424,2595.679907,1547.721875,1.6,25,123.5277123
9,268.6325746,38.01558296,41.33812714,2652.829315,1582.023054,1.6,28,128.1463808
10,274.6668596,38.89963807,42.26471118,2712.534315,1617.823026,1.6,31,132.5689091
11,280.8450179,39.81469824,43.21512335,2773.899091,1654.572849,1.6,35,137.0298558
12,287.075556,40.74883148,44.17549941,2836.062536,1691.743705,1.6,39,142.1837018
13,293.2730342,41.69065002,45.13281842,2898.218239,1728.839261,1.6,43,148.3997796
14,299.3598919,42.62952801,46.07517571,2959.63102,1765.406022,1.6,48,154.4363642
15,305.2678567,43.55577608,46.99199649,3019.64955,1801.041398,1.6,53,159.007587
16,310.9389042,44.46076951,47.87418548,3077.714792,1835.399285,1.6,57,162.2503066
17,316.3257615,45.33702927,48.71421143,3133.364265,1868.193155,1.6,59.5,164.5644458
18,321.3919715,46.17825751,49.50612848,3186.232293,1899.196718,1.6,61.5,165.9856801
19,326.1115559,46.97933146,50.2455396,3236.046662,1928.242365,1.6,57.28449761,166.4952701
20,330.4683294,47.73626141,50.92950976,3282.622187,1955.217709,1.6,59.41043229,166.0889226
21,334.4549382,48.44611956,51.55643842,3325.851889,1980.060583,1.6,59.22598469,165.7571839
22,338.0716962,49.1069477,52.12590226,3365.696496,2002.752923,1.6,59.08200796,165.5254873
23,341.3253024,49.71765144,52.6384794,3402.173007,2023.31399,1.6,58.92605744,165.4035229
24,344.2275166,50.27788852,53.09556617,3435.343064,2041.793328,1.6,58.96650661,165.3738894
25,346.7938653,50.78795796,53.4991964,3465.301741,2058.263868,1.6,61.42649994,165.3841898
26,349.0424374,51.24869518,53.85187178,3492.167303,2072.815493,1.6,61.55907454,165.3938167
27,350.9928175,51.66137717,54.15640962,3516.072321,2085.549303,1.6,61.52161262,165.3538077
28,352.6651854,52.02763969,54.41581244,3537.156377,2096.572749,1.6,61.43785283,165.2583944
29,354.0795985,52.34940728,54.63316129,3555.560469,2105.995705,1.6,61.28029491,165.1253172
30,355.2554548,52.62883511,54.81153281,3571.42306,2113.927466,1.6,62.81847475,164.9621127
31,356.2111248,52.86826098,54.95393809,3584.877614,2120.4746,1.6,62.62073395,164.7968547
32,356.9637276,53.07016456,55.06328029,3596.051371,2125.739513,1.6,62.60640792,164.6406451
33,357.5290224,53.23713115,55.14232683,3605.065047,2129.819577,1.6,62.41926314,164.4952668
34,357.9213822,53.37181689,55.19369173,3612.033156,2132.806648,1.6,62.29357437,164.3700808
35,358.1538182,53.47691314,55.2198242,3617.064627,2134.786788,1.6,63.1664729,164.2776597
36,358.2380263,53.55510841,55.22299958,3620.263447,2135.840079,1.6,63.10029435,164.2150865
37,358.1844351,53.60904708,55.20531029,3621.729145,2136.040405,1.6,63.02172409,164.1722893
38,358.0022387,53.64128531,55.16865511,3621.556964,2135.455143,1.6,63.00065455,164.1522153
39,357.6994123,53.6542456,55.11472664,3619.837697,2134.144766,1.6,63.00981909,164.1522893
40,357.282708,53.65017212,55.04499774,3616.657197,2132.162372,1.6,63.40485315,164.1626578
41,356.7576435,53.63108966,54.96070865,3612.095676,2129.553216,1.6,63.3494408,164.2193185
42,356.1284948,53.59876931,54.8628572,3606.226915,2126.354332,1.6,63.49732354,164.3110635
43,355.3983092,53.55470392,54.75219467,3599.117581,2122.594351,1.6,63.4818791,164.4072304
