Index,Age,SES,PA,Protein,Sodium,Fat,Energy,BMI,Gender,Year,Age1,Age2,Age3
1,53,0.753679089356853,1396.96749057791,94.9516936078412,3.64448886453562,193.587085715187,4005.0154385691,26.9870400184618,1,2016,53,2809,148877
2,75,1.22897339301903,400,80.5940475471224,3.57968361152365,248.422267574278,4606.40277293618,26.7336515415966,1,2017,75,5625,421875
3,75,-0.32421725847726,400,100.881878043414,4.04569117110175,261.816872536248,5323.36380282755,33.7420903771008,1,2017,75,5625,421875
4,67,0.500985919743358,1405.7133242899,243.167335876725,6.47607988222522,297.898520759904,7024.72195038184,29.9231527079493,1,2017,67,4489,300763
5,36,-0.636362271104547,3896.69672214578,136.618741209513,4.60758102321511,212.058365950436,3829.72673745629,20.4664251315972,1,2016,36,1296,46656
6,31,0.387267928934687,2383.97783446298,134.477809426996,3.2336988438368,256.021481609797,4995.44161524241,26.0421516681777,1,2016,31,961,29791
7,38,0.862596112004521,2647.4820723998,148.294863459569,5.46360302002328,157.342004728171,4359.50655423754,26.1406503958911,1,2017,38,1444,54872
8,23,-0.075615147197799,5297.45342991256,134.483378254153,4.11403157910074,205.576411666947,5076.1471944759,28.2398561135398,1,2017,23,529,12167
9,25,0.0436704592696019,9283.65364839719,184.016204528798,4.83219218343441,264.235347874459,5119.50726369741,20.1827414296649,1,2016,25,625,15625
10,71,-0.272105517054757,1667.81195554778,78.3307983156182,2.62779075162281,82.6225378488965,2148.86496340499,21.9464049043084,1,2017,71,5041,357911
11,36,-0.225546869913843,5810.90516231204,89.7840136315188,2.68663997876804,90.5685950700031,2437.37548487577,27.3136044466435,1,2016,36,1296,46656
12,24,-0.431168030880728,3195.77477642582,104.827994055828,2.93303840058953,92.7624500092508,2461.30051182991,28.3316559287388,1,2016,24,576,13824
13,31,-0.25949440112038,486.898968801957,155.002837381689,4.7062633716665,338.655437564232,9061.17559699094,47.2264386074103,1,2016,31,961,29791
14,58,-0.314062601235306,2500.46889754808,109.310417443226,2.1599367930428,101.336764574515,2489.28157047953,25.6735405714129,1,2017,58,3364,195112
15,22,0.533854279121265,9686.00529123629,165.035841239286,4.59475064742335,228.475749749695,5728.86911546405,29.6261949413128,1,2017,22,484,10648
16,60,-0.111869236741039,400,149.838434466397,5.43221972873944,208.83913274803,5326.39234828981,33.7443106531015,1,2017,60,3600,216000
17,68,0.443359458858231,400,250.378400510603,4.22265913702977,206.878760658013,5305.50052374073,27.9437513459771,1,2017,68,4624,314432
18,22,-1.74447974286807,9296.37904763548,171.308021503709,6.90470171013681,190.527096294245,3816.38597632087,20.2444517870081,1,2016,22,484,10648
19,34,0.81919263687339,812.271617274306,158.177945429002,4.22921832100548,153.762648977231,5111.12942349769,38.5101592560444,1,2017,34,1156,39304
20,21,-0.175379063267761,8586.87344625684,102.635210932952,1.06254314036053,193.24080775117,3412.12673248523,23.3819704104746,1,2016,21,441,9261
21,53,-0.422020928782528,553.203397478086,107.082938147348,4.91373562467749,311.617396583987,5489.55270637127,29.7259918004689,1,2016,53,2809,148877
22,45,0.46865640805482,1002.30788405006,181.48107264198,6.42298446038759,258.146138521206,5842.84653280139,32.3628199610883,1,2016,45,2025,91125
23,52,1.42575333763763,400,111.758873230458,3.30693908162927,129.622986441027,4200.78739162078,35.7045964831646,1,2017,52,2704,140608
24,22,0.63932024777691,8920.16643841664,80.791429610537,2.61264569052783,208.058945394636,3714.57640619287,20.1283468671786,1,2017,22,484,10648
25,57,0.751515992643762,570.506709269712,78.2480274914214,4.22222712984448,191.31130767337,3515.41085965923,26.5862836659504,1,2016,57,3249,185193
26,30,0.797349629021986,5826.42416571801,176.986964494625,4.02590356801929,197.94584829135,3857.36312611302,23.5998025991849,1,2016,30,900,27000
27,45,-1.16231392181571,2556.20914062997,110.735210944049,4.17604849953742,187.013289109963,4210.72617638269,29.7648589622518,1,2017,45,2025,91125
28,87,-1.36441941202184,400,159.750570624086,3.06146698404682,129.350788701213,3942.15233878573,33.8400685330081,1,2016,87,7569,658503
29,36,0.463454522317792,2919.05084474296,180.324054719684,8.99287676418397,325.624504512819,7499.39587734343,28.8393978355754,1,2016,36,1296,46656
30,52,1.16936219722311,1584.20063541505,218.610194082279,10.0693362832182,350.095733393009,6926.73920948131,27.7991980105197,1,2016,52,2704,140608
31,36,-0.435947298052328,3856.02675445854,129.44925388129,3.71529694889405,178.636317715245,4304.11031551284,23.7225956579386,1,2017,36,1296,46656
32,79,2.57421249296419,400,70.5937472860323,2.62226626943012,91.9091223810437,2652.47469125837,28.6869798577508,1,2016,79,6241,493039
33,78,-1.11119865613442,400,106.202828415071,3.43026512939672,159.466092986691,3039.68780014593,25.6562247822002,1,2016,78,6084,474552
34,47,-0.00101239415086269,1455.06691541076,141.705697907925,2.68764281390061,169.668321834055,4023.12940113406,25.5931900497457,1,2017,47,2209,103823
35,35,-1.02268146618157,9448.69021487671,121.431063742645,3.10212873057944,178.706606876451,3317.62221974308,20.8131305993055,1,2016,35,1225,42875
36,26,-0.697595935222303,9386.72608678771,134.72129584489,4.42687358018154,109.731748174381,3539.94422094911,23.2728284121661,1,2016,26,676,17576
37,61,0.578079620935236,400,163.182787913406,7.5085033992813,195.225549144454,4765.79074676736,31.7509666290317,1,2017,61,3721,226981
38,57,1.43822066973344,1829.27320931474,112.028691289608,2.13254273038277,211.350905402925,3063.88081861353,20.8181683834574,1,2017,57,3249,185193
39,79,-0.339433597189515,400,90.0702324637451,3.60443777229513,129.455691463631,3518.03197977103,33.5205233461988,1,2017,79,6241,493039
40,64,-1.32603476342615,400,132.732589175353,3.42965174814763,229.582351450549,4777.21765613874,31.3698664782983,1,2016,64,4096,262144
41,67,-1.53978931187851,2138.60170951616,117.261571899242,3.7091748830241,110.642912674336,4262.62953788701,34.8129702945743,1,2017,67,4489,300763
