index;sex;age;age2;age3;carb;fat;protein;sodium;physicalactivity;energyintake;weight;height
1;Female;0;0;0;170,589495;30,90102323;27,65115409;1372,817968;1,6;1071,071805;3,466165859;49,2
3;Female;1;1;1;175,072576;31,46919162;28,32081815;1408,864958;1,6;1096,796301;7,86240753;74,1
5;Female;2;4;8;183,2764322;32,521199;29,54850145;1474,424599;1,6;1143,990526;10,46770233;85,5
7;Female;3;9;27;194,021991;33,9272808;31,16155948;1559,468196;1,6;1206,079729;12,65245618;94
9;Female;4;16;64;206,1717576;35,56336453;32,99352526;1654,463774;1,6;1276,731412;14,40525667;100,3
11;Female;5;25;125;218,930459;37,34350345;34,92810226;1752,923275;1,6;1351,525776;16,45345556;107,1936339
13;Female;6;36;216;231,8791279;39,22051065;36,90375842;1851,598248;1,6;1428,116141;18,17884561;112,8924717
15;Female;7;49;343;244,8303259;41,16568375;38,89177592;1949,181141;1,6;1505,379561;19,94091849;117,9573555
17;Female;8;64;512;257,6625387;43,14679379;40,87118475;2044,920436;1,6;1582,456038;21,8899388;122,7415713
19;Female;9;81;729;270,2277509;45,11821285;42,81511245;2137,917424;1,6;1658,235369;24,20203108;127,5942064
21;Female;10;100;1000;282,326116;47,0231441;44,68803872;2226,952446;1,6;1731,264916;27,08586689;132,8497119
23;Female;11;121;1331;293,6987747;48,80276451;46,44677547;2310,407292;1,6;1799,807081;30,66781218;138,5804571
25;Female;12;144;1728;304,0107361;50,40483874;48,04012061;2386,09085;1,6;1861,846976;34,51219169;143,8308082
27;Female;13;169;2197;312,8383718;51,78971259;49,40833072;2451,171552;1,6;1915,094223;38,00983706;147,6832203
29;Female;14;196;2744;319,7010237;52,93231949;50,48720602;2502,491442;1,6;1957,143794;41,0289453;150,3832374
31;Female;15;225;3375;324,1689565;53,82405305;51,22159093;2537,420628;1,6;1985,978667;43,57957322;152,3876156
33;Female;16;256;4096;326,0418341;54,4769735;51,58825251;2555,076032;1,6;2000,813108;45,55853666;153,824056
35;Female;17;289;4913;325,529924;54,93166252;51,61985149;2557,426845;1,6;2002,984065;46,96877017;154,7357344
37;Female;18;324;5832;325,529924;54,93166252;51,61985149;2549,566722;1,6;2002,984065;52,98540953;154,7357344
39;Female;19;361;6859;325,529924;54,93166252;51,61985149;2538,666747;1,6;2002,984065;52,98540953;154,7357344
41;Female;20;400;8000;325,529924;54,93166252;51,61985149;2531,79021;1,6;2002,984065;52,98540953;154,7357344
43;Female;21;441;9261;325,529924;54,93166252;51,61985149;2533,572551;1,6;2002,984065;52,98540953;154,7357344
45;Female;22;484;10648;325,529924;54,93166252;51,61985149;2544,972287;1,6;2002,984065;52,98540953;154,7357344
47;Female;23;529;12167;325,529924;54,93166252;51,61985149;2563,683491;1,6;2002,984065;52,98540953;154,7357344
49;Female;24;576;13824;325,529924;54,93166252;51,61985149;2585,74457;1,6;2002,984065;52,98540953;154,7357344
51;Female;25;625;15625;325,529924;54,93166252;51,61985149;2607,283889;1,6;2002,984065;52,98540953;154,7357344
53;Female;26;676;17576;325,529924;54,93166252;51,61985149;2625,52027;1,6;2002,984065;52,98540953;154,7357344
55;Female;27;729;19683;325,529924;54,93166252;51,61985149;2638,868679;1,6;2002,984065;52,98540953;154,7357344
57;Female;28;784;21952;325,529924;54,93166252;51,61985149;2646,53971;1,6;2002,984065;52,98540953;154,7357344
59;Female;29;841;24389;325,529924;54,93166252;51,61985149;2648,162523;1,6;2002,984065;52,98540953;154,7357344
61;Female;30;900;27000;325,529924;54,93166252;51,61985149;2643,650239;1,6;2002,984065;52,98540953;154,7357344
63;Female;31;961;29791;325,529924;54,93166252;51,61985149;2633,28299;1,6;2002,984065;52,98540953;154,7357344
65;Female;32;1024;32768;325,529924;54,93166252;51,61985149;2617,806491;1,6;2002,984065;52,98540953;154,7357344
67;Female;33;1089;35937;325,529924;54,93166252;51,61985149;2598,471046;1,6;2002,984065;52,98540953;154,7357344
69;Female;34;1156;39304;325,529924;54,93166252;51,61985149;2576,970455;1,6;2002,984065;52,98540953;154,7357344
71;Female;35;1225;42875;325,529924;54,93166252;51,61985149;2555,330529;1,6;2002,984065;52,98540953;154,7357344
73;Female;36;1296;46656;325,529924;54,93166252;51,61985149;2535,670642;1,6;2002,984065;52,98540953;154,7357344
75;Female;37;1369;50653;325,529924;54,93166252;51,61985149;2519,829041;1,6;2002,984065;52,98540953;154,7357344
77;Female;38;1444;54872;325,529924;54,93166252;51,61985149;2508,897751;1,6;2002,984065;52,98540953;154,7357344
79;Female;39;1521;59319;325,529924;54,93166252;51,61985149;2502,956536;1,6;2002,984065;52,98540953;154,7357344
81;Female;40;1600;64000;325,529924;54,93166252;51,61985149;2501,213992;1,6;2002,984065;52,98540953;154,7357344
83;Female;41;1681;68921;325,529924;54,93166252;51,61985149;2502,562851;1,6;2002,984065;52,98540953;154,7357344
85;Female;42;1764;74088;325,529924;54,93166252;51,61985149;2506,15512;1,6;2002,984065;52,98540953;154,7357344
87;Female;43;1849;79507;325,529924;54,93166252;51,61985149;2511,624233;1,6;2002,984065;52,98540953;154,7357344
89;Female;44;1936;85184;325,529924;54,93166252;51,61985149;2518,836601;1,6;2002,984065;52,98540953;154,7357344
91;Female;45;2025;91125;325,529924;54,93166252;51,61985149;2527,50236;1,6;2002,984065;52,98540953;154,7357344
93;Female;46;2116;97336;325,529924;54,93166252;51,61985149;2536,988951;1,6;2002,984065;52,98540953;154,7357344
95;Female;47;2209;103823;325,529924;54,93166252;51,61985149;2546,465107;1,6;2002,984065;52,98540953;154,7357344
97;Female;48;2304;110592;325,529924;54,93166252;51,61985149;2555,170935;1,6;2002,984065;52,98540953;154,7357344
99;Female;49;2401;117649;325,529924;54,93166252;51,61985149;2562,631073;1,6;2002,984065;52,98540953;154,7357344
101;Female;50;2500;125000;325,529924;54,93166252;51,61985149;2568,73743;1,6;2002,984065;52,98540953;154,7357344
103;Female;51;2601;132651;325,529924;54,93166252;51,61985149;2573,748515;1,6;2002,984065;52,98540953;154,7357344
105;Female;52;2704;140608;325,529924;54,93166252;51,61985149;2578,1677;1,6;2002,984065;52,98540953;154,7357344
107;Female;53;2809;148877;325,529924;54,93166252;51,61985149;2582,507105;1,6;2002,984065;52,98540953;154,7357344
109;Female;54;2916;157464;325,529924;54,93166252;51,61985149;2587,025376;1,6;2002,984065;52,98540953;154,7357344
111;Female;55;3025;166375;325,529924;54,93166252;51,61985149;2591,646155;1,6;2002,984065;52,98540953;154,7357344
113;Female;56;3136;175616;325,529924;54,93166252;51,61985149;2596,066027;1,6;2002,984065;52,98540953;154,7357344
115;Female;57;3249;185193;325,529924;54,93166252;51,61985149;2599,901799;1,6;2002,984065;52,98540953;154,7357344
117;Female;58;3364;195112;325,529924;54,93166252;51,61985149;2602,661558;1,6;2002,984065;52,98540953;154,7357344
119;Female;59;3481;205379;325,529924;54,93166252;51,61985149;2603,661503;1,6;2002,984065;52,98540953;154,7357344
121;Female;60;3600;216000;325,529924;54,93166252;51,61985149;2602,114442;1,6;2002,984065;52,98540953;154,7357344
123;Female;61;3721;226981;325,529924;54,93166252;51,61985149;2597,55221;1,6;2002,984065;52,98540953;154,7357344
125;Female;62;3844;238328;325,529924;54,93166252;51,61985149;2590,269274;1,6;2002,984065;52,98540953;154,7357344
127;Female;63;3969;250047;325,529924;54,93166252;51,61985149;2581,414443;1,6;2002,984065;52,98540953;154,7357344
129;Female;64;4096;262144;325,529924;54,93166252;51,61985149;2572,491113;1,6;2002,984065;52,98540953;154,7357344
131;Female;65;4225;274625;325,529924;54,93166252;51,61985149;2564,579233;1,6;2002,984065;52,98540953;154,7357344
133;Female;66;4356;287496;325,529924;54,93166252;51,61985149;2557,739054;1,6;2002,984065;52,98540953;154,7357344
135;Female;67;4489;300763;325,529924;54,93166252;51,61985149;2551,0522;1,6;2002,984065;52,98540953;154,7357344
137;Female;68;4624;314432;325,529924;54,93166252;51,61985149;2543,276713;1,6;2002,984065;52,98540953;154,7357344
139;Female;69;4761;328509;325,529924;54,93166252;51,61985149;2533,783187;1,6;2002,984065;52,98540953;154,7357344
141;Female;70;4900;343000;325,529924;54,93166252;51,61985149;2523,142601;1,6;2002,984065;52,98540953;154,7357344
143;Female;71;5041;357911;325,529924;54,93166252;51,61985149;2512,99906;1,6;2002,984065;52,98540953;154,7357344
145;Female;72;5184;373248;325,529924;54,93166252;51,61985149;2505,249543;1,6;2002,984065;52,98540953;154,7357344
147;Female;73;5329;389017;325,529924;54,93166252;51,61985149;2501,120406;1,6;2002,984065;52,98540953;154,7357344
149;Female;74;5476;405224;325,529924;54,93166252;51,61985149;2500,688671;1,6;2002,984065;52,98540953;154,7357344
151;Female;75;5625;421875;325,529924;54,93166252;51,61985149;2503,116984;1,6;2002,984065;52,98540953;154,7357344
153;Female;76;5776;438976;325,529924;54,93166252;51,61985149;2507,256264;1,6;2002,984065;52,98540953;154,7357344
155;Female;77;5929;456533;325,529924;54,93166252;51,61985149;2512,21623;1,6;2002,984065;52,98540953;154,7357344
157;Female;78;6084;474552;325,529924;54,93166252;51,61985149;2517,518007;1,6;2002,984065;52,98540953;154,7357344
159;Female;79;6241;493039;325,529924;54,93166252;51,61985149;2522,888938;1,6;2002,984065;52,98540953;154,7357344
161;Female;80;6400;512000;325,529924;54,93166252;51,61985149;2527,834224;1,6;2002,984065;52,98540953;154,7357344
163;Female;81;6561;531441;325,529924;54,93166252;51,61985149;2531,425661;1,6;2002,984065;52,98540953;154,7357344
165;Female;82;6724;551368;325,529924;54,93166252;51,61985149;2532,53555;1,6;2002,984065;52,98540953;154,7357344
167;Female;83;6889;571787;325,529924;54,93166252;51,61985149;2530,578992;1,6;2002,984065;52,98540953;154,7357344
169;Female;84;7056;592704;325,529924;54,93166252;51,61985149;2526,228473;1,6;2002,984065;52,98540953;154,7357344
171;Female;85;7225;614125;325,529924;54,93166252;51,61985149;2521,580231;1,6;2002,984065;52,98540953;154,7357344
173;Female;86;7396;636056;325,529924;54,93166252;51,61985149;2519,514555;1,6;2002,984065;52,98540953;154,7357344
175;Female;87;7569;658503;325,529924;54,93166252;51,61985149;2522,683699;1,6;2002,984065;52,98540953;154,7357344
177;Female;88;7744;681472;325,529924;54,93166252;51,61985149;2532,570898;1,6;2002,984065;52,98540953;154,7357344
179;Female;89;7921;704969;325,529924;54,93166252;51,61985149;2548,835056;1,6;2002,984065;52,98540953;154,7357344
181;Female;90;8100;729000;325,529924;54,93166252;51,61985149;2568,802234;1,6;2002,984065;52,98540953;154,7357344
183;Female;91;8281;753571;325,529924;54,93166252;51,61985149;2587,360921;1,6;2002,984065;52,98540953;154,7357344
185;Female;92;8464;778688;325,529924;54,93166252;51,61985149;2597,853508;1,6;2002,984065;52,98540953;154,7357344
187;Female;93;8649;804357;325,529924;54,93166252;51,61985149;2594,363728;1,6;2002,984065;52,98540953;154,7357344
189;Female;94;8836;830584;325,529924;54,93166252;51,61985149;2574,628036;1,6;2002,984065;52,98540953;154,7357344
191;Female;95;9025;857375;325,529924;54,93166252;51,61985149;2541,813782;1,6;2002,984065;52,98540953;154,7357344
193;Female;96;9216;884736;325,529924;54,93166252;51,61985149;2503,635388;1,6;2002,984065;52,98540953;154,7357344
195;Female;97;9409;912673;325,529924;54,93166252;51,61985149;2468,93281;1,6;2002,984065;52,98540953;154,7357344
197;Female;98;9604;941192;325,529924;54,93166252;51,61985149;2443,724666;1,6;2002,984065;52,98540953;154,7357344
199;Female;99;9801;970299;325,529924;54,93166252;51,61985149;2429,262469;1,6;2002,984065;52,98540953;154,7357344
199;Female;100;10000;1000000;325,529924;54,93166252;51,61985149;2423,278009;1,6;2002,984065;52,98540953;154,7357344
2;Male;0;0;0;170,1484156;30,91752474;27,66834286;1358,510772;1,6;1069,524757;3,660165434;49,8
4;Male;1;1;1;174,7866357;31,51951652;28,35678473;1396,372858;1,6;1096,24933;8,45733997;75,7
6;Male;2;4;8;183,3248493;32,63814323;29,62697404;1465,517168;1,6;1145,550583;11,11940324;86,8
8;Male;3;9;27;194,618946;34,14505431;31,31437349;1555,897318;1,6;1211,038767;13,37568174;95,2
10;Male;4;16;64;207,5738987;35,92490218;33,26307613;1658,182519;1,6;1286,672019;15,4451915;102,3
12;Male;5;25;125;221,4661353;37,91114937;35,37214531;1766,565368;1,6;1368,553467;16,92013832;107,0732388
14;Male;6;36;216;236,0113911;40,08650382;37,60391196;1879,096907;1,6;1455,239747;18,72784443;113,1410019
16;Male;7;49;343;251,2303864;42,45784603;39,96250582;1996,213528;1,6;1546,892183;20,64523307;118,5760379
18;Male;8;64;512;267,2495529;45,02570474;42,46326029;2118,889351;1,6;1644,082595;22,70979077;123,5277123
20;Male;9;81;729;284,1377824;47,7649015;45,10879655;2247,413035;1,6;1746,870429;24,94896307;128,1463808
22;Male;10;100;1000;301,8047143;50,62020628;47,87588486;2380,879628;1,6;1854,304253;27,37781018;132,5689091
24;Male;11;121;1331;319,9349841;53,51337367;50,70927917;2516,961551;1,6;1964,197416;30,06034393;137,0298558
26;Male;12;144;1728;337,9390552;56,35123896;53,51767368;2651,59515;1,6;2072,988066;33,3150182;142,1837018
28;Male;13;169;2197;354,9280932;59,02840593;56,17097914;2778,647009;1,6;2175,651943;37,414325;148,3997796
30;Male;14;196;2744;369,7614327;61,42418438;58,50484302;2890,055771;1,6;2265,882762;41,82953529;154,4363642
32;Male;15;225;3375;381,2234476;63,40767431;60,34279091;2977,054157;1,6;2336,934023;45,82935709;159,007587
34;Male;16;256;4096;388,3545028;64,86441921;61,54229318;3032,689673;1,6;2383,366957;49,33847742;162,2503066
36;Male;17;289;4913;390,8453721;65,74480409;62,05355475;3054,899279;1,6;2403,298944;52,34406735;164,5644458
38;Male;18;324;5832;389,3012904;66,10655287;61,9610606;3048,53579;1,6;2400,00838;60,47134212;164,5644458
40;Male;19;361;6859;385,1676947;66,1172134;61,47494028;3024,725737;1,6;2381,625461;60,47134212;164,5644458
42;Male;20;400;8000;380,2883715;66,00236896;60,86596367;2997,356143;1,6;2358,638661;60,47134212;164,5644458
44;Male;21;441;9261;376,2929247;65,96696736;60,3744001;2978,298709;1,6;2340,372005;60,47134212;164,5644458
46;Male;22;484;10648;374,1385386;66,13522529;60,14219989;2973,926696;1,6;2332,339982;60,47134212;164,5644458
48;Male;23;529;12167;374,0080369;66,54010341;60,19901248;2984,525958;1,6;2335,689128;60,47134212;164,5644458
50;Male;24;576;13824;375,5348908;67,15310021;60,49597043;3006,342968;1,6;2348,501347;60,47134212;164,5644458
52;Male;25;625;15625;378,1435333;67,923514;60,95462153;3034,548739;1,6;2367,704245;60,47134212;164,5644458
54;Male;26;676;17576;381,3063823;68,79955861;61,50162042;3065,400066;1,6;2390,428038;60,47134212;164,5644458
56;Male;27;729;19683;384,6412219;69,72905734;62,07994217;3096,836101;1,6;2414,446172;60,47134212;164,5644458
58;Male;28;784;21952;387,8954313;70,65101396;62,6451597;3127,847739;1,6;2438,02149;60,47134212;164,5644458
